,0,1,2
17717,Style of play,70% Offensive,Neutral
17718,Average ratings,Average ratings,Average ratings
17719,Total player experience,875,650
17720,Average midfield,650,875
17721,Average defence,675,1000
17722,Average attack,875,975
17723,Total average,725,950
17724,Midfield,850,500
17725,Right defence,825,1200
17726,Central defence,925,1250
17727,Left defence,925,1050
17728,Right attack,525,525
17729,Central attack,925,550
17730,Left attack,625,425
17731,Indirect set pieces,Indirect set pieces,Indirect set pieces
17732,Defence,600,675
17733,Attack,525,400
17734,Match plan,Match plan,Match plan
17735,Team attitude,(Hidden),(Hidden)
17736,Tactic,Attack in the Middle,Normal
17737,Tactic skill,16,(no tactic)
17738,Style of play,Neutral,Neutral
17739,Average ratings,Average ratings,Average ratings
17740,Total player experience,875,700
17741,Average midfield,850,500
17742,Average defence,900,1175
17743,Average attack,675,500
17744,Total average,800,725
17745,Midfield,625,450
17746,Right defence,1375,1175
17747,Central defence,1900,1400
17748,Left defence,1475,1300
17749,Right attack,575,1050
17750,Central attack,550,525
17751,Left attack,450,325
17752,Indirect set pieces,Indirect set pieces,Indirect set pieces
17753,Defence,900,900
17754,Attack,725,700
17755,Match plan,Match plan,Match plan
17756,Team attitude,(Hidden),(Hidden)
17757,Tactic,Pressing,Counter-attacks
17758,Tactic skill,9,17
17759,Style of play,100% Defensive,Neutral
17760,Average ratings,Average ratings,Average ratings
17761,Total player experience,575,575
17762,Average midfield,625,450
17763,Average defence,1575,1300
17764,Average attack,525,625
17765,Total average,900,800
17766,Midfield,1050,925
17767,Right defence,575,1200
17768,Central defence,1075,1550
17769,Left defence,625,1500
17770,Right attack,700,525
17771,Central attack,1275,725
17772,Left attack,575,1075
17773,Indirect set pieces,Indirect set pieces,Indirect set pieces
17774,Defence,650,975
17775,Attack,725,650
17776,Match plan,Match plan,Match plan
17777,Team attitude,(Hidden),(Hidden)
17778,Tactic,Normal,Attack on wings
17779,Tactic skill,(no tactic),16
17780,Style of play,100% Offensive,100% Defensive
17781,Average ratings,Average ratings,Average ratings
17782,Total player experience,575,800
17783,Average midfield,1050,925
17784,Average defence,750,1400
17785,Average attack,850,775
17786,Total average,875,1025
17787,Midfield,775,275
17788,Right defence,1900,1100
17789,Central defence,2000,1400
17790,Left defence,1800,1175
17791,Right attack,375,650
17792,Central attack,725,375
17793,Left attack,1500,675
17794,Indirect set pieces,Indirect set pieces,Indirect set pieces
17795,Defence,1125,850
17796,Attack,825,675
17797,Match plan,Match plan,Match plan
17798,Team attitude,(Hidden),(Hidden)
17799,Tactic,Normal,Counter-attacks
17800,Tactic skill,(no tactic),14
17801,Style of play,100% Defensive,100% Defensive
17802,Average ratings,Average ratings,Average ratings
17803,Total player experience,900,525
17804,Average midfield,775,275
17805,Average defence,1900,1225
17806,Average attack,850,550
17807,Total average,1175,675
17808,Midfield,1150,1100
17809,Right defence,475,1500
17810,Central defence,875,1375
17811,Left defence,475,1450
17812,Right attack,375,1075
17813,Central attack,575,1300
17814,Left attack,450,1200
17815,Indirect set pieces,Indirect set pieces,Indirect set pieces
17816,Defence,575,950
17817,Attack,575,875
17818,Match plan,Match plan,Match plan
17819,Team attitude,(Hidden),(Hidden)
17820,Tactic,Attack in the Middle,Normal
17821,Tactic skill,12,(no tactic)
17822,Style of play,Neutral,100% Offensive
17823,Average ratings,Average ratings,Average ratings
17824,Total player experience,650,725
17825,Average midfield,1150,1100
17826,Average defence,600,1450
17827,Average attack,475,1200
17828,Total average,750,1250
17829,Midfield,850,900
17830,Right defence,1750,1100
17831,Central defence,1825,1325
17832,Left defence,1775,1050
17833,Right attack,450,1075
17834,Central attack,725,1175
17835,Left attack,475,1175
17836,Indirect set pieces,Indirect set pieces,Indirect set pieces
17837,Defence,1000,725
17838,Attack,700,625
17839,Match plan,Match plan,Match plan
17840,Team attitude,(Hidden),(Hidden)
17841,Tactic,Pressing,Normal
17842,Tactic skill,12,(no tactic)
17843,Style of play,Neutral,Neutral
17844,Average ratings,Average ratings,Average ratings
17845,Total player experience,700,525
17846,Average midfield,850,900
17847,Average defence,1775,1150
17848,Average attack,550,1150
17849,Total average,1050,1075
17850,Midfield,1025,700
17851,Right defence,675,850
17852,Central defence,825,1125
17853,Left defence,600,1025
17854,Right attack,700,700
17855,Central attack,1350,700
17856,Left attack,950,800
17857,Indirect set pieces,Indirect set pieces,Indirect set pieces
17858,Defence,600,675
17859,Attack,725,625
17860,Match plan,Match plan,Match plan
17861,Team attitude,(Hidden),(Hidden)
17862,Tactic,Play creatively,Normal
17863,Tactic skill,16,(no tactic)
17864,Style of play,Neutral,Neutral
17865,Average ratings,Average ratings,Average ratings
17866,Total player experience,650,800
17867,Average midfield,1025,700
17868,Average defence,700,1000
17869,Average attack,1000,725
17870,Total average,900,800
17871,Midfield,700,1000
17872,Right defence,1450,1025
17873,Central defence,1625,975
17874,Left defence,1325,900
17875,Right attack,900,1125
17876,Central attack,450,1000
17877,Left attack,375,1025
17878,Indirect set pieces,Indirect set pieces,Indirect set pieces
17879,Defence,825,625
17880,Attack,500,600
17881,Match plan,Match plan,Match plan
17882,Team attitude,(Hidden),(Hidden)
17883,Tactic,Counter-attacks,Normal
17884,Tactic skill,15,(no tactic)
17885,Style of play,Neutral,Neutral
17886,Average ratings,Average ratings,Average ratings
17887,Total player experience,450,525
17888,Average midfield,700,1000
17889,Average defence,1475,950
17890,Average attack,575,1050
17891,Total average,925,1000
17892,Midfield,825,950
17893,Right defence,900,600
17894,Central defence,1175,1100
17895,Left defence,600,575
17896,Right attack,650,775
17897,Central attack,1250,1050
17898,Left attack,825,800
17899,Indirect set pieces,Indirect set pieces,Indirect set pieces
17900,Defence,700,700
17901,Attack,700,550
17902,Match plan,Match plan,Match plan
17903,Team attitude,(Hidden),(Hidden)
17904,Tactic,Attack in the Middle,Attack in the Middle
17905,Tactic skill,20,16
17906,Style of play,Neutral,100% Offensive
17907,Average ratings,Average ratings,Average ratings
17908,Total player experience,725,600
17909,Average midfield,825,950
17910,Average defence,900,750
17911,Average attack,900,875
17912,Total average,875,850
17913,Midfield,925,625
17914,Right defence,625,450
17915,Central defence,1000,600
17916,Left defence,925,325
17917,Right attack,450,525
17918,Central attack,950,825
17919,Left attack,525,650
17920,Indirect set pieces,Indirect set pieces,Indirect set pieces
17921,Defence,600,575
17922,Attack,550,500
17923,Match plan,Match plan,Match plan
17924,Team attitude,(Hidden),(Hidden)
17925,Tactic,Play creatively,Normal
17926,Tactic skill,18,(no tactic)
17927,Style of play,Neutral,100% Offensive
17928,Average ratings,Average ratings,Average ratings
17929,Total player experience,925,475
17930,Average midfield,925,625
17931,Average defence,850,475
17932,Average attack,650,650
17933,Total average,800,575
17934,Midfield,750,875
17935,Right defence,1075,1400
17936,Central defence,1100,1325
17937,Left defence,1175,1425
17938,Right attack,500,825
17939,Central attack,925,925
17940,Left attack,1000,775
17941,Indirect set pieces,Indirect set pieces,Indirect set pieces
17942,Defence,650,925
17943,Attack,550,825
17944,Match plan,Match plan,Match plan
17945,Team attitude,(Hidden),(Hidden)
17946,Tactic,Normal,Attack in the Middle
17947,Tactic skill,(no tactic),16
17948,Style of play,Neutral,Neutral
17949,Average ratings,Average ratings,Average ratings
17950,Total player experience,750,500
17951,Average midfield,750,875
17952,Average defence,1125,1375
17953,Average attack,800,825
17954,Total average,900,1025
17955,Midfield,775,675
17956,Right defence,750,1200
17957,Central defence,800,1200
17958,Left defence,725,1100
17959,Right attack,1300,575
17960,Central attack,1700,1050
17961,Left attack,1075,650
17962,Indirect set pieces,Indirect set pieces,Indirect set pieces
17963,Defence,1000,1050
17964,Attack,925,875
17965,Match plan,Match plan,Match plan
17966,Team attitude,(Hidden),(Hidden)
17967,Tactic,Normal,Normal
17968,Tactic skill,(no tactic),(no tactic)
17969,Style of play,100% Offensive,Neutral
17970,Average ratings,Average ratings,Average ratings
17971,Total player experience,925,575
17972,Average midfield,775,675
17973,Average defence,750,1175
17974,Average attack,1350,775
17975,Total average,950,875
17976,Midfield,750,700
17977,Right defence,925,750
17978,Central defence,675,850
17979,Left defence,850,1000
17980,Right attack,1500,850
17981,Central attack,1600,1000
17982,Left attack,1350,825
17983,Indirect set pieces,Indirect set pieces,Indirect set pieces
17984,Defence,1000,650
17985,Attack,950,525
17986,Match plan,Match plan,Match plan
17987,Team attitude,(Hidden),(Hidden)
17988,Tactic,Normal,Normal
17989,Tactic skill,(no tactic),(no tactic)
17990,Style of play,100% Offensive,100% Offensive
17991,Average ratings,Average ratings,Average ratings
17992,Total player experience,975,575
17993,Average midfield,750,700
17994,Average defence,825,875
17995,Average attack,1475,900
17996,Total average,1025,825
17997,Midfield,800,600
17998,Right defence,1100,1375
17999,Central defence,1050,1275
18000,Left defence,1025,1175
18001,Right attack,875,725
18002,Central attack,725,1075
18003,Left attack,750,600
18004,Indirect set pieces,Indirect set pieces,Indirect set pieces
18005,Defence,725,750
18006,Attack,575,525
18007,Match plan,Match plan,Match plan
18008,Team attitude,(Hidden),(Hidden)
18009,Tactic,Attack on wings,Counter-attacks
18010,Tactic skill,20,10
18011,Style of play,Neutral,100% Offensive
18012,Average ratings,Average ratings,Average ratings
18013,Total player experience,700,775
18014,Average midfield,800,600
18015,Average defence,1050,1275
18016,Average attack,775,800
18017,Total average,875,900
18018,Midfield,925,925
18019,Right defence,1125,950
18020,Central defence,1075,1075
18021,Left defence,1175,800
18022,Right attack,500,1200
18023,Central attack,950,625
18024,Left attack,525,1050
18025,Indirect set pieces,Indirect set pieces,Indirect set pieces
18026,Defence,775,1025
18027,Attack,600,775
18028,Match plan,Match plan,Match plan
18029,Team attitude,(Hidden),(Hidden)
18030,Tactic,Attack in the Middle,Normal
18031,Tactic skill,15,(no tactic)
18032,Style of play,100% Offensive,100% Offensive
18033,Average ratings,Average ratings,Average ratings
18034,Total player experience,575,700
18035,Average midfield,925,925
18036,Average defence,1125,950
18037,Average attack,650,950
18038,Total average,900,950
18039,Midfield,750,775
18040,Right defence,775,1525
18041,Central defence,775,1425
18042,Left defence,800,1525
18043,Right attack,1025,875
18044,Central attack,1000,975
18045,Left attack,1050,875
18046,Indirect set pieces,Indirect set pieces,Indirect set pieces
18047,Defence,600,700
18048,Attack,675,650
18049,Match plan,Match plan,Match plan
18050,Team attitude,(Hidden),(Hidden)
18051,Tactic,Normal,Normal
18052,Tactic skill,(no tactic),(no tactic)
18053,Style of play,Neutral,Neutral
18054,Average ratings,Average ratings,Average ratings
18055,Total player experience,625,775
18056,Average midfield,750,775
18057,Average defence,775,1500
18058,Average attack,1025,900
18059,Total average,850,1050
18060,Midfield,750,650
18061,Right defence,1050,975
18062,Central defence,850,950
18063,Left defence,625,1325
18064,Right attack,575,675
18065,Central attack,625,750
18066,Left attack,575,800
18067,Indirect set pieces,Indirect set pieces,Indirect set pieces
18068,Defence,825,750
18069,Attack,800,600
18070,Match plan,Match plan,Match plan
18071,Team attitude,(Hidden),(Hidden)
18072,Tactic,Normal,Normal
18073,Tactic skill,(no tactic),(no tactic)
18074,Style of play,100% Offensive,100% Defensive
18075,Average ratings,Average ratings,Average ratings
18076,Total player experience,425,725
18077,Average midfield,750,650
18078,Average defence,850,1075
18079,Average attack,600,750
18080,Total average,725,825
18081,Midfield,800,400
18082,Right defence,1075,725
18083,Central defence,975,750
18084,Left defence,875,575
18085,Right attack,750,475
18086,Central attack,875,500
18087,Left attack,725,375
18088,Indirect set pieces,Indirect set pieces,Indirect set pieces
18089,Defence,775,550
18090,Attack,625,500
18091,Match plan,Match plan,Match plan
18092,Team attitude,(Hidden),(Hidden)
18093,Tactic,Play creatively,Attack on wings
18094,Tactic skill,20,15
18095,Style of play,100% Offensive,100% Defensive
18096,Average ratings,Average ratings,Average ratings
18097,Total player experience,1025,500
18098,Average midfield,800,400
18099,Average defence,975,675
18100,Average attack,775,450
18101,Total average,850,500
18102,Midfield,675,650
18103,Right defence,975,600
18104,Central defence,750,975
18105,Left defence,625,550
18106,Right attack,725,450
18107,Central attack,850,900
18108,Left attack,550,800
18109,Indirect set pieces,Indirect set pieces,Indirect set pieces
18110,Defence,725,575
18111,Attack,600,550
18112,Match plan,Match plan,Match plan
18113,Team attitude,(Hidden),(Hidden)
18114,Tactic,Normal,Normal
18115,Tactic skill,(no tactic),(no tactic)
18116,Style of play,100% Offensive,Neutral
18117,Average ratings,Average ratings,Average ratings
18118,Total player experience,850,750
18119,Average midfield,675,650
18120,Average defence,775,700
18121,Average attack,700,725
18122,Total average,725,700
18123,Midfield,700,875
18124,Right defence,1300,600
18125,Central defence,1450,925
18126,Left defence,1300,550
18127,Right attack,800,850
18128,Central attack,825,1825
18129,Left attack,750,850
18130,Indirect set pieces,Indirect set pieces,Indirect set pieces
18131,Defence,875,700
18132,Attack,650,750
18133,Match plan,Match plan,Match plan
18134,Team attitude,(Hidden),(Hidden)
18135,Tactic,Pressing,Attack in the Middle
18136,Tactic skill,8,22
18137,Style of play,Neutral,Neutral
18138,Average ratings,Average ratings,Average ratings
18139,Total player experience,750,700
18140,Average midfield,700,875
18141,Average defence,1350,700
18142,Average attack,800,1175
18143,Total average,950,925
18144,Midfield,650,875
18145,Right defence,1000,1250
18146,Central defence,1050,1250
18147,Left defence,950,1225
18148,Right attack,950,500
18149,Central attack,1175,525
18150,Left attack,950,650
18151,Indirect set pieces,Indirect set pieces,Indirect set pieces
18152,Defence,850,900
18153,Attack,700,600
18154,Match plan,Match plan,Match plan
18155,Team attitude,(Hidden),(Hidden)
18156,Tactic,Counter-attacks,Normal
18157,Tactic skill,16,(no tactic)
18158,Style of play,100% Offensive,100% Offensive
18159,Average ratings,Average ratings,Average ratings
18160,Total player experience,475,550
18161,Average midfield,650,875
18162,Average defence,1000,1250
18163,Average attack,1025,550
18164,Total average,900,900
18165,Midfield,600,825
18166,Right defence,775,1050
18167,Central defence,1175,1725
18168,Left defence,950,1075
18169,Right attack,1075,1050
18170,Central attack,1725,1075
18171,Left attack,875,900
18172,Indirect set pieces,Indirect set pieces,Indirect set pieces
18173,Defence,775,775
18174,Attack,675,600
18175,Match plan,Match plan,Match plan
18176,Team attitude,(Hidden),(Hidden)
18177,Tactic,Attack in the Middle,Normal
18178,Tactic skill,24,(no tactic)
18179,Style of play,Neutral,Neutral
18180,Average ratings,Average ratings,Average ratings
18181,Total player experience,875,625
18182,Average midfield,600,825
18183,Average defence,975,1275
18184,Average attack,1225,1000
18185,Total average,925,1025
18186,Midfield,850,1025
18187,Right defence,500,1425
18188,Central defence,1000,1200
18189,Left defence,650,1175
18190,Right attack,900,700
18191,Central attack,1650,850
18192,Left attack,875,650
18193,Indirect set pieces,Indirect set pieces,Indirect set pieces
18194,Defence,625,750
18195,Attack,650,575
18196,Match plan,Match plan,Match plan
18197,Team attitude,(Hidden),(Hidden)
18198,Tactic,Normal,Normal
18199,Tactic skill,(no tactic),(no tactic)
18200,Style of play,100% Offensive,Neutral
18201,Average ratings,Average ratings,Average ratings
18202,Total player experience,575,900
18203,Average midfield,850,1025
18204,Average defence,725,1275
18205,Average attack,1150,725
18206,Total average,900,1000
18207,Midfield,875,700
18208,Right defence,1075,900
18209,Central defence,900,1025
18210,Left defence,875,975
18211,Right attack,875,600
18212,Central attack,950,1225
18213,Left attack,700,775
18214,Indirect set pieces,Indirect set pieces,Indirect set pieces
18215,Defence,750,700
18216,Attack,650,625
18217,Match plan,Match plan,Match plan
18218,Team attitude,(Hidden),(Hidden)
18219,Tactic,Normal,Attack in the Middle
18220,Tactic skill,(no tactic),18
18221,Style of play,100% Offensive,100% Defensive
18222,Average ratings,Average ratings,Average ratings
18223,Total player experience,900,625
18224,Average midfield,875,700
18225,Average defence,950,975
18226,Average attack,825,875
18227,Total average,875,850
18228,Midfield,725,1100
18229,Right defence,1525,1150
18230,Central defence,1925,1050
18231,Left defence,1650,1025
18232,Right attack,1025,850
18233,Central attack,800,1400
18234,Left attack,925,625
18235,Indirect set pieces,Indirect set pieces,Indirect set pieces
18236,Defence,925,875
18237,Attack,650,825
18238,Match plan,Match plan,Match plan
18239,Team attitude,(Hidden),(Hidden)
18240,Tactic,Counter-attacks,Normal
18241,Tactic skill,14,(no tactic)
18242,Style of play,100% Defensive,Neutral
18243,Average ratings,Average ratings,Average ratings
18244,Total player experience,525,775
18245,Average midfield,725,1100
18246,Average defence,1700,1075
18247,Average attack,925,950
18248,Total average,1125,1050
18249,Midfield,450,700
18250,Right defence,800,1250
18251,Central defence,875,1375
18252,Left defence,750,1225
18253,Right attack,650,650
18254,Central attack,625,575
18255,Left attack,525,700
18256,Indirect set pieces,Indirect set pieces,Indirect set pieces
18257,Defence,825,850
18258,Attack,850,650
18259,Match plan,Match plan,Match plan
18260,Team attitude,(Hidden),(Hidden)
18261,Tactic,Long shots,Normal
18262,Tactic skill,11,(no tactic)
18263,Style of play,100% Offensive,Neutral
18264,Average ratings,Average ratings,Average ratings
18265,Total player experience,325,600
18266,Average midfield,450,700
18267,Average defence,800,1275
18268,Average attack,600,650
18269,Total average,625,875
18270,Midfield,725,550
18271,Right defence,675,850
18272,Central defence,1125,950
18273,Left defence,825,700
18274,Right attack,650,700
18275,Central attack,975,1100
18276,Left attack,625,850
18277,Indirect set pieces,Indirect set pieces,Indirect set pieces
18278,Defence,600,550
18279,Attack,575,550
18280,Match plan,Match plan,Match plan
18281,Team attitude,(Hidden),(Hidden)
18282,Tactic,Normal,Attack in the Middle
18283,Tactic skill,(no tactic),14
18284,Style of play,Neutral,Neutral
18285,Average ratings,Average ratings,Average ratings
18286,Total player experience,750,550
18287,Average midfield,725,550
18288,Average defence,875,825
18289,Average attack,750,875
18290,Total average,775,750
18291,Midfield,1100,850
18292,Right defence,750,825
18293,Central defence,1100,1425
18294,Left defence,900,950
18295,Right attack,325,800
18296,Central attack,450,1050
18297,Left attack,1200,775
18298,Indirect set pieces,Indirect set pieces,Indirect set pieces
18299,Defence,575,800
18300,Attack,500,575
18301,Match plan,Match plan,Match plan
18302,Team attitude,(Hidden),(Hidden)
18303,Tactic,Normal,Normal
18304,Tactic skill,(no tactic),(no tactic)
18305,Style of play,100% Offensive,Neutral
18306,Average ratings,Average ratings,Average ratings
18307,Total player experience,625,625
18308,Average midfield,1100,850
18309,Average defence,925,1075
18310,Average attack,650,875
18311,Total average,900,925
18312,Midfield,700,850
18313,Right defence,525,1050
18314,Central defence,725,1025
18315,Left defence,500,1075
18316,Right attack,800,1000
18317,Central attack,900,1175
18318,Left attack,650,650
18319,Indirect set pieces,Indirect set pieces,Indirect set pieces
18320,Defence,875,675
18321,Attack,875,625
18322,Match plan,Match plan,Match plan
18323,Team attitude,(Hidden),(Hidden)
18324,Tactic,Attack on wings,Play creatively
18325,Tactic skill,13,18
18326,Style of play,100% Offensive,Neutral
18327,Average ratings,Average ratings,Average ratings
18328,Total player experience,450,750
18329,Average midfield,700,850
18330,Average defence,600,1050
18331,Average attack,775,950
18332,Total average,700,950
18333,Midfield,725,600
18334,Right defence,1325,1250
18335,Central defence,1625,1150
18336,Left defence,1500,1225
18337,Right attack,675,900
18338,Central attack,1050,1350
18339,Left attack,900,850
18340,Indirect set pieces,Indirect set pieces,Indirect set pieces
18341,Defence,1000,700
18342,Attack,775,700
18343,Match plan,Match plan,Match plan
18344,Team attitude,(Hidden),(Hidden)
18345,Tactic,Pressing,Normal
18346,Tactic skill,11,(no tactic)
18347,Style of play,20% Offensive,Neutral
18348,Average ratings,Average ratings,Average ratings
18349,Total player experience,625,825
18350,Average midfield,725,600
18351,Average defence,1500,1200
18352,Average attack,875,1025
18353,Total average,1025,950
18354,Midfield,475,700
18355,Right defence,950,1050
18356,Central defence,1200,1300
18357,Left defence,925,1100
18358,Right attack,1000,700
18359,Central attack,1125,1000
18360,Left attack,975,775
18361,Indirect set pieces,Indirect set pieces,Indirect set pieces
18362,Defence,650,800
18363,Attack,625,700
18364,Match plan,Match plan,Match plan
18365,Team attitude,(Hidden),(Hidden)
18366,Tactic,Counter-attacks,Normal
18367,Tactic skill,11,(no tactic)
18368,Style of play,100% Offensive,Neutral
18369,Average ratings,Average ratings,Average ratings
18370,Total player experience,450,425
18371,Average midfield,475,700
18372,Average defence,1025,1150
18373,Average attack,1025,825
18374,Total average,850,900
18375,Midfield,650,800
18376,Right defence,1275,900
18377,Central defence,1225,1075
18378,Left defence,1275,1550
18379,Right attack,650,575
18380,Central attack,575,1050
18381,Left attack,700,650
18382,Indirect set pieces,Indirect set pieces,Indirect set pieces
18383,Defence,750,600
18384,Attack,600,600
18385,Match plan,Match plan,Match plan
18386,Team attitude,(Hidden),(Hidden)
18387,Tactic,Attack on wings,Attack in the Middle
18388,Tactic skill,11,18
18389,Style of play,Neutral,100% Defensive
18390,Average ratings,Average ratings,Average ratings
18391,Total player experience,800,450
18392,Average midfield,650,800
18393,Average defence,1275,1175
18394,Average attack,650,775
18395,Total average,850,925
18396,Midfield,1050,850
18397,Right defence,1225,1125
18398,Central defence,1025,1100
18399,Left defence,1150,1150
18400,Right attack,875,900
18401,Central attack,1150,1050
18402,Left attack,675,925
18403,Indirect set pieces,Indirect set pieces,Indirect set pieces
18404,Defence,650,850
18405,Attack,600,750
18406,Match plan,Match plan,Match plan
18407,Team attitude,(Hidden),(Hidden)
18408,Tactic,Normal,Normal
18409,Tactic skill,(no tactic),(no tactic)
18410,Style of play,Neutral,100% Offensive
18411,Average ratings,Average ratings,Average ratings
18412,Total player experience,500,625
18413,Average midfield,1050,850
18414,Average defence,1150,1125
18415,Average attack,900,950
18416,Total average,1025,975
18417,Midfield,500,750
18418,Right defence,1500,1025
18419,Central defence,1375,775
18420,Left defence,1225,950
18421,Right attack,650,1025
18422,Central attack,775,1050
18423,Left attack,650,1000
18424,Indirect set pieces,Indirect set pieces,Indirect set pieces
18425,Defence,950,925
18426,Attack,700,700
18427,Match plan,Match plan,Match plan
18428,Team attitude,(Hidden),(Hidden)
18429,Tactic,Counter-attacks,Attack on wings
18430,Tactic skill,13,18
18431,Style of play,Neutral,100% Offensive
18432,Average ratings,Average ratings,Average ratings
18433,Total player experience,575,675
18434,Average midfield,500,750
18435,Average defence,1375,925
18436,Average attack,700,1025
18437,Total average,850,900
18438,Midfield,925,675
18439,Right defence,975,1025
18440,Central defence,1075,1150
18441,Left defence,775,1050
18442,Right attack,800,900
18443,Central attack,1525,1000
18444,Left attack,650,650
18445,Indirect set pieces,Indirect set pieces,Indirect set pieces
18446,Defence,875,650
18447,Attack,775,450
18448,Match plan,Match plan,Match plan
18449,Team attitude,(Hidden),(Hidden)
18450,Tactic,Normal,Normal
18451,Tactic skill,(no tactic),(no tactic)
18452,Style of play,100% Offensive,Neutral
18453,Average ratings,Average ratings,Average ratings
18454,Total player experience,850,700
18455,Average midfield,925,675
18456,Average defence,925,1075
18457,Average attack,975,850
18458,Total average,950,875
18459,Midfield,750,725
18460,Right defence,1250,1350
18461,Central defence,1225,1500
18462,Left defence,1100,1200
18463,Right attack,675,400
18464,Central attack,700,525
18465,Left attack,800,700
18466,Indirect set pieces,Indirect set pieces,Indirect set pieces
18467,Defence,625,1000
18468,Attack,550,575
18469,Match plan,Match plan,Match plan
18470,Team attitude,(Hidden),(Hidden)
18471,Tactic,Normal,Normal
18472,Tactic skill,(no tactic),(no tactic)
18473,Style of play,100% Offensive,Neutral
18474,Average ratings,Average ratings,Average ratings
18475,Total player experience,575,900
18476,Average midfield,750,725
18477,Average defence,1200,1350
18478,Average attack,725,550
18479,Total average,900,875
18480,Midfield,525,275
18481,Right defence,950,1250
18482,Central defence,925,1425
18483,Left defence,825,1300
18484,Right attack,875,725
18485,Central attack,725,275
18486,Left attack,875,600
18487,Indirect set pieces,Indirect set pieces,Indirect set pieces
18488,Defence,900,800
18489,Attack,800,500
18490,Match plan,Match plan,Match plan
18491,Team attitude,(Hidden),(Hidden)
18492,Tactic,Attack on wings,Normal
18493,Tactic skill,20,(no tactic)
18494,Style of play,100% Offensive,Neutral
18495,Average ratings,Average ratings,Average ratings
18496,Total player experience,675,400
18497,Average midfield,525,275
18498,Average defence,900,1325
18499,Average attack,825,525
18500,Total average,750,700
18501,Midfield,925,500
18502,Right defence,925,600
18503,Central defence,1550,900
18504,Left defence,925,600
18505,Right attack,900,500
18506,Central attack,650,850
18507,Left attack,850,450
18508,Indirect set pieces,Indirect set pieces,Indirect set pieces
18509,Defence,625,575
18510,Attack,550,450
18511,Match plan,Match plan,Match plan
18512,Team attitude,(Hidden),(Hidden)
18513,Tactic,Normal,Play creatively
18514,Tactic skill,(no tactic),10
18515,Style of play,100% Offensive,100% Offensive
18516,Average ratings,Average ratings,Average ratings
18517,Total player experience,625,475
18518,Average midfield,925,500
18519,Average defence,1125,700
18520,Average attack,800,600
18521,Total average,950,600
18522,Midfield,775,625
18523,Right defence,1175,1300
18524,Central defence,1175,1425
18525,Left defence,1175,1325
18526,Right attack,900,875
18527,Central attack,1100,825
18528,Left attack,825,825
18529,Indirect set pieces,Indirect set pieces,Indirect set pieces
18530,Defence,850,1075
18531,Attack,625,800
18532,Match plan,Match plan,Match plan
18533,Team attitude,(Hidden),(Hidden)
18534,Tactic,Normal,Counter-attacks
18535,Tactic skill,(no tactic),16
18536,Style of play,Neutral,100% Offensive
18537,Average ratings,Average ratings,Average ratings
18538,Total player experience,550,750
18539,Average midfield,775,625
18540,Average defence,1175,1350
18541,Average attack,925,850
18542,Total average,950,950
18543,Midfield,825,775
18544,Right defence,1275,825
18545,Central defence,1550,1250
18546,Left defence,1200,725
18547,Right attack,825,825
18548,Central attack,775,1125
18549,Left attack,1150,700
18550,Indirect set pieces,Indirect set pieces,Indirect set pieces
18551,Defence,850,750
18552,Attack,725,700
18553,Match plan,Match plan,Match plan
18554,Team attitude,(Hidden),(Hidden)
18555,Tactic,Normal,Normal
18556,Tactic skill,(no tactic),(no tactic)
18557,Style of play,Neutral,Neutral
18558,Average ratings,Average ratings,Average ratings
18559,Total player experience,600,650
18560,Average midfield,825,775
18561,Average defence,1350,925
18562,Average attack,925,875
18563,Total average,1025,850
18564,Midfield,825,900
18565,Right defence,1300,1200
18566,Central defence,1550,1025
18567,Left defence,1725,825
18568,Right attack,450,1150
18569,Central attack,525,725
18570,Left attack,800,1175
18571,Indirect set pieces,Indirect set pieces,Indirect set pieces
18572,Defence,850,875
18573,Attack,550,650
18574,Match plan,Match plan,Match plan
18575,Team attitude,(Hidden),(Hidden)
18576,Tactic,Play creatively,Attack on wings
18577,Tactic skill,18,18
18578,Style of play,100% Defensive,100% Offensive
18579,Average ratings,Average ratings,Average ratings
18580,Total player experience,1075,650
18581,Average midfield,825,900
18582,Average defence,1525,1025
18583,Average attack,600,1000
18584,Total average,975,975
18585,Midfield,1150,1000
18586,Right defence,975,1175
18587,Central defence,925,1050
18588,Left defence,825,1100
18589,Right attack,850,1275
18590,Central attack,900,1225
18591,Left attack,650,875
18592,Indirect set pieces,Indirect set pieces,Indirect set pieces
18593,Defence,750,825
18594,Attack,600,675
18595,Match plan,Match plan,Match plan
18596,Team attitude,(Hidden),(Hidden)
18597,Tactic,Normal,Normal
18598,Tactic skill,(no tactic),(no tactic)
18599,Style of play,Neutral,Neutral
18600,Average ratings,Average ratings,Average ratings
18601,Total player experience,600,750
18602,Average midfield,1150,1000
18603,Average defence,900,1100
18604,Average attack,800,1125
18605,Total average,950,1075
18606,Midfield,1075,625
18607,Right defence,775,925
18608,Central defence,850,850
18609,Left defence,850,1050
18610,Right attack,575,925
18611,Central attack,1300,975
18612,Left attack,675,950
18613,Indirect set pieces,Indirect set pieces,Indirect set pieces
18614,Defence,700,700
18615,Attack,750,475
18616,Match plan,Match plan,Match plan
18617,Team attitude,(Hidden),(Hidden)
18618,Tactic,Attack in the Middle,Attack on wings
18619,Tactic skill,10,19
18620,Style of play,100% Offensive,100% Offensive
18621,Average ratings,Average ratings,Average ratings
18622,Total player experience,725,925
